2600:1407:3c00:10::17dc:f69d            # macro.adnami.io
2600:1407:3c00:10::17dc:f6a4            # macro.adnami.io
2600:1407:3c00:10::17dc:f6bc            # tr.mediafin.be
2600:1407:3c00:10::17dc:f6bf            # tr.mediafin.be
2600:1407:3c00:c9::172d:2e08            # sli.huffpost.com
2600:1407:3c00:cb::172d:2ee5            # sp.dpgmedia.net
2600:1407:3c00:cb::172d:2eed            # temptation.ad.nl
2600:1407:3c00:cb::172d:2eee            # temptation.ad.nl
2600:1407:3c00:cb::172d:2eef            # sp.dpgmedia.net
2600:1407:3c00:e83::11ae                # iad.anm.co.uk
2600:1407:3c00:e8c::3198                # ptp.stbm.it
2600:1407:3c00:e8f::3198                # ptp.stbm.it
2600:1407:3c00:ea1::11ae                # iad.anm.co.uk
2600:1407:7400:1582::12c5               # iadsdk.apple.com
2600:1407:7400:1583::1aa8               # events.paramount.tech
2600:1407:7400:1584::c35                # sioa.chewy.com
2600:1407:7400:1585::3857               # ibeat.indiatimes.com
2600:1407:7400:1587::c35                # sioa.chewy.com
2600:1407:7400:1588::17ae               # campaign.bharatmatrimony.com
2600:1407:7400:158b::12c5               # iadsdk.apple.com
2600:1407:7400:158e::1418               # bc.nhk.jp
2600:1407:7400:158e::3857               # ibeat.indiatimes.com
2600:1407:7400:158f::1418               # bc.nhk.jp
2600:1407:7400:158f::16c2               # crta.dailymail.co.uk
2600:1407:7400:1592::17ae               # campaign.bharatmatrimony.com
2600:1407:7400:1594::16c2               # crta.dailymail.co.uk
2600:1407:7400:1594::1aa8               # events.paramount.tech
2600:1407:7400:16::17d7:f87             # video-ads-module.ad-tech.nbcuni.com
2600:1407:7400:16::17d7:f8d             # data.mistat.rus.xiaomi.com
2600:1407:7400:16::17d7:f9b             # data.mistat.rus.xiaomi.com
2600:1407:7400:16::17d7:fa0             # data.mistat.india.xiaomi.com
2600:1407:7400:16::17d7:faa             # api.ad.xiaomi.com
2600:1407:7400:16::17d7:fab             # ds-aksb-a.akamaihd.net
2600:1407:7400:16::17d7:fc9             # video-ads-module.ad-tech.nbcuni.com
2600:1407:7400:16::17d7:fd4             # api.ad.xiaomi.com
2600:1407:7400:16::17d7:fdc             # ds-aksb-a.akamaihd.net
2600:1407:7400:1c::17d7:bc4             # rta2.newzit.com
2600:1407:7400:1c::17d7:bc8             # metcon.hulu.com
2600:1407:7400:1c::17d7:bce             # creativeassets.asosservices.com
2600:1407:7400:1c::17d7:bd0             # metcon.hulu.com
2600:1407:7400:1c::17d7:bd1             # collector.prod.expedia.com
2600:1407:7400:1c::17d7:bd2             # creativeassets.asosservices.com
2600:1407:7400:1c::17d7:bd3             # tracking.eurosport.com
2600:1407:7400:1c::17d7:bd6             # affiliate.mediatemple.net
2600:1407:7400:1c::17d7:bd8             # collector.prod.expedia.com
2600:1407:7400:1c::17d7:bd9             # affiliate.mediatemple.net
2600:1407:7400:1d::172e:1704            # static-rtb2.ak.bonanza.com
2600:1407:7400:1d::172e:1716            # zap.cdn.zynga.com
2600:1407:7400:1d::172e:1718            # zap.cdn.zynga.com
2600:1407:7400:1d::172e:172d            # static.fstsrv11.com
2600:1407:7400:1d::172e:173e            # static-rtb2.ak.bonanza.com
2600:1407:7400:1d::172e:1760            # static.fstsrv11.com
2600:1407:7400:299::3561                # boomerang.dell.com
2600:1407:7400:29a::3561                # boomerang.dell.com
2600:1407:7400:382::32ac                # px.staticfiles.at
2600:1407:7400:386::1544                # otcdn2.auditude.com
2600:1407:7400:387::1544                # otcdn2.auditude.com
2600:1407:7400:38b::1464                # uie.data.cbc.ca
2600:1407:7400:38d::1464                # uie.data.cbc.ca
2600:1407:7400:393::32ac                # px.staticfiles.at
2600:1407:7400:786::16c2                # t.dailymail.co.uk
2600:1407:7400:787::16c2                # t.dailymail.co.uk
2600:1407:7400:7::1730:252c             # ads.olx.com
2600:1407:7400:7::1730:2542             # ads.olx.com
2600:1407:7400:7::1730:2545             # crta.metro.co.uk
2600:1407:7400:7::1730:2547             # swa.metro.co.uk
2600:1407:7400:7::1730:254d             # swa.metro.co.uk
2600:1407:7400:8::1730:4ce              # web-vitals.bfops.io
2600:1407:7400:8::1730:4cf              # web-vitals.bfops.io
2600:1407:7400:e90::2a1                 # metrics.mzstatic.com
2600:1407:7400:e96::2a1                 # metrics.mzstatic.com
2600:1407:7400:e9a::2a1                 # metrics.mzstatic.com
2600:1407:7400:e9b::2a1                 # metrics.mzstatic.com
2600:1407:7400:e9d::2a1                 # metrics.mzstatic.com
2600:1407:b800::6872:4f91               # pahtzh.tech
2600:1407:b800::6872:4fab               # pahtzh.tech
2600:1407:b800::687b:990b               # adnami2.io
2600:1407:b800::687b:9921               # adnami2.io
2600:1408:c400:c::17cd:6889             # grapeshot.co.uk
2600:1408:c400:c::17cd:6895             # grapeshot.co.uk
2600:1408:ec00:1083::24c5               # ads-d.viber.com
2600:1408:ec00:1085::1833               # analytics.htmedia.in
2600:1408:ec00:1086::1833               # analytics.htmedia.in
2600:1408:ec00:1087::24c5               # ads-d.viber.com
2600:1408:ec00:15::17d7:c7              # cr.adsappier.com
2600:1408:ec00:15::17d7:c8              # cr.adsappier.com
2600:1408:ec00:15::17d7:ca              # ad.line-scdn.net
2600:1408:ec00:15::17d7:cb              # client.botchk.net
2600:1408:ec00:15::17d7:cf              # client.botchk.net
2600:1408:ec00:15::17d7:d0              # ad.line-scdn.net
2600:1408:ec00:15::17d7:d1              # monetize-static.viralize.tv
2600:1408:ec00:17::17d7:87              # blacktri-a.akamaihd.net
2600:1408:ec00:17::17d7:8a              # blacktri-a.akamaihd.net
2600:1408:ec00:17::17d7:8f              # adsatt.espn.go.com
2600:1408:ec00:17::17d7:91              # adsatt.espn.go.com
2600:1408:ec00:1e::1735:23e8            # kdpic.pchome.com.tw
2600:1408:ec00:1e::1735:23ee            # data.bvsrv.com
2600:1408:ec00:1e::1735:23f0            # data.bvsrv.com
2600:1408:ec00:1e::1735:23f1            # kdpic.pchome.com.tw
2600:1408:ec00:1f::1735:23c5            # cdn.stat-track.com
2600:1408:ec00:1f::1735:23c8            # a.medialaancdn.be
2600:1408:ec00:1f::1735:23ca            # pushtoast-a.akamaihd.net
2600:1408:ec00:1f::1735:23cc            # cdn-ketchapp.akamaized.net
2600:1408:ec00:1f::1735:23cd            # jioads.akamaized.net
2600:1408:ec00:1f::1735:23ce            # a.medialaancdn.be
